age,gender,path,face_score1,face_score2,face_location_x1,face_location_x2,face_location_y1,face_location_y2
18,1,C:/Users/Cera/PycharmProjects/pythonProject/imdb_0/06/nm0619406_rm2584778752_1975-10-5_1994.jpg,4.329352304881191,,131.85791135,153.6842299,327.39477837,349.22109692
36,0,C:/Users/Cera/PycharmProjects/pythonProject/imdb_0/05/nm1663205_rm2184020480_1973-11-27_2010.jpg,1.7244457417641836,,264.192,215.04,409.6,360.448
32,0,C:/Users/Cera/PycharmProjects/pythonProject/imdb_0/07/nm0002907_rm3519787008_1976-8-25_2009.jpg,3.3280802499586377,,690.176,198.656,983.04,491.52
34,0,C:/Users/Cera/PycharmProjects/pythonProject/imdb_0/01/nm1107001_rm3294145792_1978-9-23_2013.jpg,4.3383561387611405,,395.264,329.728,983.04,917.504
46,0,C:/Users/Cera/PycharmProjects/pythonProject/imdb_0/02/nm0000102_rm2638321920_1958-7-8_2005.jpg,1.039073241346143,,169.15734899,65.46544192,226.82604671,123.13413965
21,0,C:/Users/Cera/PycharmProjects/pythonProject/imdb_0/01/nm3284401_rm1516030464_1991-7-8_2013.jpg,2.3118971538333186,,697.38600632,200.71600181,1589.34401445,1092.67400993
20,1,C:/Users/Cera/PycharmProjects/pythonProject/imdb_0/01/nm0000701_rm548505344_1975-10-5_1996.jpg,2.066148221493954,,657.408,526.336,1245.184,1114.112
30,1,C:/Users/Cera/PycharmProjects/pythonProject/imdb_0/08/nm0005208_rm1162910464_1969-9-6_2000.jpg,4.208629148776429,,75.55516682,86.27104779,171.45409558,182.16997655
22,0,C:/Users/Cera/PycharmProjects/pythonProject/imdb_0/02/nm1741002_rm2789194240_1982-10-28_2005.jpg,3.333174478583758,,534.53223141,49.50293013,642.6638242,157.63452292
56,0,C:/Users/Cera/PycharmProjects/pythonProject/imdb_0/00/nm0000200_rm4189762816_1955-5-17_2012.jpg,2.1571383455664606,,307.78425067,430.07875093,856.06150187,978.35600213
30,0,C:/Users/Cera/PycharmProjects/pythonProject/imdb_0/00/nm2296000_rm899450112_1980-12-18_2011.jpg,2.443811878861168,,166.31256312,91.87690972,239.84821652,165.41256312
31,0,C:/Users/Cera/PycharmProjects/pythonProject/imdb_0/01/nm0001701_rm1687858944_1978-9-7_2010.jpg,4.522827039082512,,203.17091048,111.27504208,367.5834736,275.6876052
24,1,C:/Users/Cera/PycharmProjects/pythonProject/imdb_0/07/nm0993507_rm1497936128_1986-6-13_2011.jpg,1.9956023422564952,,946,178,1088,320
49,1,C:/Users/Cera/PycharmProjects/pythonProject/imdb_0/00/nm0000300_rm550030848_1964-3-9_2014.jpg,3.2354399543051278,,915.16469333,212.76723692,1229.19554871,526.79809231
13,1,C:/Users/Cera/PycharmProjects/pythonProject/imdb_0/00/nm0289200_rm1273936384_1996-7-23_2010.jpg,4.584516126214622,,405.46940136,566.83796191,1129.57992382,1290.94848437
29,1,C:/Users/Cera/PycharmProjects/pythonProject/imdb_0/09/nm0454809_rm587565568_1979-4-23_2009.jpg,4.08509609294923,,55.47739478,92.10632464,219.77357913,256.40250899
42,0,C:/Users/Cera/PycharmProjects/pythonProject/imdb_0/03/nm0224703_rm1788248576_1967-7-20_2010.jpg,1.0304390734552422,,153,105,224,176
43,1,C:/Users/Cera/PycharmProjects/pythonProject/imdb_0/04/nm0931404_rm2236921344_1968-7-26_2012.jpg,3.9374244998897168,,774.68520205,423.48647384,1404.79491282,1053.59618461
36,1,C:/Users/Cera/PycharmProjects/pythonProject/imdb_0/08/nm0915208_rm3948976384_1968-9-28_2005.jpg,1.1965999991877438,,119.84750578,38.56420639,167.98548542,86.70218603
